Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,Diagnosed,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments
37,Female,United States,Illinois,No,No,Yes,Often,Yes,6 to 25,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,NA
44,Male,United States,Indiana,No,No,No,Rarely,Yes,More than 1000,No,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No,NA
31,Male,United States,Texas,No,No,No,Never,Yes,100 to 500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No,NA
33,Male,United States,Tennessee,No,Yes,No,Sometimes,Yes,6 to 25,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,NA
35,Female,United States,Michigan,No,Yes,Yes,Sometimes,Yes,1 to 5,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No,NA
42,Female,United States,Illinois,No,Yes,Yes,Sometimes,Yes,100 to 500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,NA
31,Male,United States,Ohio,No,No,Yes,Sometimes,Yes,6 to 25,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,NA
42,Female,United States,California,No,Yes,Yes,Sometimes,Yes,26 to 100,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,NA
36,Male,United States,Connecticut,No,Yes,No,Never,Yes,500 to 1000,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,No,Don't know,No,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.
29,Female,United States,Illinois,No,Yes,Yes,Rarely,Yes,26 to 100,No,Yes,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No,I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. 
32,Male,United States,Tennessee,No,No,Yes,Sometimes,Yes,6 to 25,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,No,No,NA
46,Male,United States,Maryland,Yes,Yes,No,Sometimes,Yes,1 to 5,Yes,Yes,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,NA
29,Male,United States,New York,No,Yes,Yes,Sometimes,Yes,100 to 500,No,Yes,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No,Some of them,Some of them,No,No,No,No,NA
31,Male,United States,North Carolina,Yes,No,No,Never,Yes,1 to 5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,No,Maybe,Yes,No,NA
46,Male,United States,Massachusetts,No,No,Yes,Often,Yes,26 to 100,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,Maybe,No,No,NA
41,Male,United States,Iowa,No,No,Yes,Never,Yes,More than 1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,No,Yes,Don't know,No,NA
33,Male,United States,California,No,Yes,Yes,Rarely,Yes,26 to 100,No,Yes,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No,Yes,Yes,No,Yes,Don't know,No,Relatively new job. Ask again later
35,Male,United States,Tennessee,No,Yes,Yes,Sometimes,Yes,More than 1000,No,No,Yes,Yes,No,Don't know,No,Very easy,Yes,No,Some of them,Yes,No,Yes,No,No,Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better
33,Male,United States,Tennessee,No,No,No,NA,No,1 to 5,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,No,No,No,Don't know,No,NA
35,Female,United States,California,No,Yes,Yes,Rarely,Yes,6 to 25,Yes,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,NA
34,Male,United States,Ohio,No,No,Yes,Sometimes,Yes,26 to 100,Yes,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No,Some of them,No,No,No,No,No,NA
31,Male,United States,Pennsylvania,Yes,Yes,No,Rarely,Yes,1 to 5,Yes,Yes,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No,No,No,No,No,No,Yes,NA
42,Male,United States,Washington,No,Yes,Yes,Sometimes,Yes,26 to 100,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No,Some of them,Some of them,Maybe,Yes,Don't know,No,I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns.
40,Female,United States,Wisconsin,No,No,Yes,Sometimes,Yes,1 to 5,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Yes,No,NA
27,Male,United States,New York,No,No,Yes,Rarely,Yes,6 to 25,No,Yes,No,Yes,No,No,Don't know,Very easy,No,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA
50,Male,United States,Indiana,No,No,No,NA,No,100 to 500,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,No,No,Some of them,Yes,No,Maybe,Don't know,No,NA
35,Male,United States,Texas,No,No,Yes,Rarely,Yes,More than 1000,Yes,Yes,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,NA
35,Male,United States,Michigan,No,No,No,NA,No,More than 1000,Yes,Yes,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Yes,Some of them,No,No,Maybe,Don't know,No,NA
30,Male,United States,Indiana,No,No,Yes,Sometimes,Yes,26 to 100,No,Yes,Don't know,No,No,No,Don't know,Don't know,No,No,No,No,No,Maybe,Don't know,No,NA
38,Female,United States,Texas,No,Yes,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering.
34,Male,United States,Tennessee,No,No,No,NA,No,6 to 25,No,Yes,No,No,No,No,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Don't know,No,NA
30,Male,United States,Illinois,No,Yes,Yes,Rarely,Yes,26 to 100,No,Yes,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,I just started a new job last week hence a lot of don't know's
22,Male,United States,Texas,No,Yes,Yes,Often,Yes,6 to 25,No,Yes,No,Yes,No,No,Yes,Very difficult,Maybe,No,No,No,No,Maybe,Don't know,No,NA
33,Male,United States,Utah,No,No,No,NA,No,100 to 500,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA
31,Male,United States,Oregon,No,No,No,NA,No,100 to 500,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA
32,Male,United States,Tennessee,No,No,No,Never,Yes,1 to 5,Yes,Yes,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No,Some of them,Yes,No,No,Don't know,No,NA
27,Other,United States,New York,No,Yes,Yes,Rarely,Yes,26 to 100,No,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,No,Don't know,No,NA
32,Male,United States,Tennessee,No,Yes,No,NA,No,6 to 25,Yes,Yes,Don't know,No,No,No,Don't know,Somewhat easy,No,No,Yes,Yes,No,No,Yes,No,NA
24,Male,United States,New York,No,Yes,Yes,Sometimes,Yes,26 to 100,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,Maybe,Some of them,Yes,Yes,Yes,No,No,NA
26,Male,United States,Tennessee,No,No,No,NA,No,26 to 100,No,No,No,No,No,No,Yes,Somewhat easy,No,No,Some of them,Yes,Maybe,Yes,Don't know,No,NA
44,Male,United States,Iowa,No,Yes,Yes,Sometimes,Yes,More than 1000,No,No,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,No,No,Maybe,Don't know,Yes,NA
40,Male,United States,California,No,Yes,No,Sometimes,Yes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe,Some of them,No,No,No,No,Yes,NA
36,Male,United States,Texas,No,No,No,Sometimes,Yes,100 to 500,Yes,Yes,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,No,Some of them,Some of them,Maybe,Yes,Yes,No,NA
31,Female,United States,New Mexico,No,No,No,NA,No,26 to 100,Yes,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,Some of them,No,No,Maybe,Don't know,No,NA
34,Male,United States,New York,Yes,No,No,Rarely,Yes,1 to 5,Yes,Yes,No,No,No,No,Don't know,Don't know,Maybe,No,Some of them,No,No,No,Don't know,No,NA
23,Other,United States,Massachusetts,No,No,No,Rarely,Yes,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No,Yes,Yes,No,No,No,No,NA
33,Male,United States,California,No,No,No,Never,Yes,More than 1000,No,Yes,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No,NA
25,Male,United States,Washington,No,No,No,NA,No,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No,Yes,Yes,Maybe,Yes,Yes,No,NA
31,Male,United States,Washington,Yes,Yes,No,Sometimes,Yes,1 to 5,Yes,Yes,No,No,No,No,Yes,Somewhat difficult,No,No,Yes,Yes,Maybe,Maybe,Yes,No,NA
32,Male,United States,Utah,No,Yes,Yes,Sometimes,Yes,26 to 100,Yes,Yes,No,No,No,No,Don't know,Somewhat difficult,Yes,No,Some of them,No,No,Yes,No,No,NA
38,Male,United States,New York,No,Yes,No,Sometimes,Yes,100 to 500,Yes,Yes,Yes,Yes,No,Yes,Don't know,Don't know,No,No,Yes,Some of them,Maybe,Maybe,Yes,No,NA
27,Female,United States,New York,Yes,No,Yes,Often,Yes,1 to 5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe,Some of them,Yes,No,Maybe,Yes,No,NA
33,Male,United States,California,No,Yes,No,Never,Yes,More than 1000,No,Yes,No,No,No,No,Don't know,Don't know,Yes,No,No,No,No,Maybe,No,No,NA
31,Male,United States,Texas,No,No,No,NA,No,26 to 100,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,Yes,Maybe,Maybe,No,No,NA
34,Female,United States,Oregon,No,Yes,Yes,Rarely,Yes,500 to 1000,Yes,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No,NA
29,Female,United States,Florida,No,No,Yes,Sometimes,Yes,26 to 100,No,Yes,Yes,Yes,No,No,Don't know,Don't know,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes,NA
32,Male,United States,Illinois,No,No,No,NA,No,500 to 1000,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Some of them,Some of them,No,No,Don't know,No,NA
31,Male,United States,New York,No,No,No,Never,Yes,500 to 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,No,Yes,No,NA
40,Male,United States,Texas,No,No,Yes,Sometimes,Yes,26 to 100,No,Yes,No,Yes,No,No,Yes,Very difficult,No,No,Yes,Yes,Yes,Yes,No,No,NA
34,Male,United States,Ohio,No,No,No,NA,No,26 to 100,No,Yes,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,Don't know,No,NA
29,Male,United States,Minnesota,No,No,No,Never,Yes,26 to 100,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,No,No,NA
24,Male,United States,Missouri,No,Yes,No,Rarely,Yes,26 to 100,No,Yes,Don't know,Not sure,No,Don't know,Don't know,Somewhat easy,Maybe,Maybe,Some of them,No,No,Maybe,Don't know,No,NA
33,Male,United States,Arizona,No,No,Yes,Sometimes,Yes,6 to 25,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Maybe,No,No,NA
30,Male,United States,Indiana,No,No,Yes,Often,Yes,1 to 5,No,Yes,No,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No,NA
44,Female,United States,Massachusetts,No,No,No,Never,Yes,100 to 500,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe,No,Some of them,No,No,Don't know,No,NA
25,Male,United States,New York,No,Yes,No,NA,No,26 to 100,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No,Some of them,Yes,No,No,Don't know,No,NA
